,Best Play,Best Revival,Leading Actor,Leading Actress,Feautured Actor,Featured Actress,Best Newcomer,Best Direction,Best Score,Best Author,Best Producer,Best Scenic Design,Best Costume Design,Best Lighting Design,Best Sound Design,Best Stage Technician,Foreign Company
1988,M. Butterfly - David Henry Hwang,N/A,Ron Silver - Speed-The-Plow,Joan Allen - Burn This,BD Wong - M Butterfly,L Scott Caldwell - Joe Turner's Come and Gone,N/A,John Dexter - M. Butterfly,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
1987,Fences - August Wilson,All My Sons,James Earl Jones - Fences,Linda Lavin - Broadway Bound,John Randolph - Broadway Bound,Mary Alice - Fences,N/A,Lloyd RIchards - Fences,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
1986,I'm Not Rappaport - Herb Gardner,N/A,Judd Hirsch - I'm Not Rappaport,Lily Tomlin - The Search for Signs of Intelligent Life in the Universe,John Mahoney - The House of Blue Leaves,Swoosie Kurtz - The House of Blue Leaves,N/A,Jerry Zaks - The House of Blue Leaves,N/A,N/A,N/A,Tony Walton - The House of Blue Leaves,N/A,Pat Collins - I'm Not Rappaport,N/A,N/A,N/A
1985,Biloxi Blues - Neil Simon,A Day in the Death of Joe Egg,Derek Jacobi - Much Ado About Nothing,Stockard Channing - A Day in the Death of Joe Egg,Barry Miller - Biloxi Blues,Judith Ivey - Hurleyburley,N/A,Gene Saks - Biloxi Blues,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
1984,The Real Thing - Tom Stoppard,Death of a Salesman,Jeremy Irons - The Real Thing,Glenn Close - The Real Thing,Joe Mantegna - Glengarry Glen Ross,Christine Baranski - The Real Thing,N/A,Mike Nichols - The Real Thing,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
1983,Torch Song Trilogy - Harvey Fierstein,N/A,Harvey Fierstein - Torch Song Trilogy,Jessica Tandy - Foxfire,Matthew Broderick - Brighton Beach Memoirs,Judith Ivey - Steaming,N/A,Gene Saks - Brighton Beach Memoirs,N/A,N/A,N/A,Ming Cho Lee - K2,N/A,N/A,N/A,N/A,N/A
1982,The Life and Adventures of Nicholas Nickleby - David Edgar,Othello,Roger Rees - The Life and Adventures of Nicholas Nickleby,Zoe Caldwell - Medea,"Zakes Mokae - ""Master Harold""... and the Boys",Amanda Plummer - Agnes of God,N/A,Trevor Nunn & John Caird - The Life and Adventures of Nicholas Nickleby,N/A,N/A,N/A,John Napier & Dermot Hayes - The Life and Adventures of Nicholas Nickleby,N/A,N/A,N/A,N/A,N/A
1981,Amadeus - Peter Shaffer,N/A,Ian McKellen - Amadeus,Jane Lapotaire - Piaf,Brian Backer - The Floating Light Bulb,Swoosie Kurtz - Fifth of July,N/A,Peter Hall - Amadeus,N/A,N/A,N/A,John Bury - Amadeus,N/A,John Bury - Amadeus,N/A,N/A,N/A
1980,Children of a Lesser God - Mark Medoff,Morning's at Seven,John Rubenstein - Children of a Lesser God,Phyllis Frelich - Children of a Lesser God,David Rounds - Morning's at Seven,Dinah Manoff - I Ought to be in Pictures,N/A,Vivian Matalon - Morning's at Seven,N/A,N/A,N/A,John Lee Beatty - Talley's Folley,N/A,N/A,N/A,N/A,N/A
1979,The Elephant Man - Bernard Pomerance,N/A,Tom Conti - Who's Life is it Anyway?,Carole Shelly - The Elephant Man / Constance Cummings - Wings,Michael Gough - Bedroom Farce,Joan Hickson - Bedroom Farce,N/A,Jack Hofsiss - The Elephant Man,N/A,N/A,N/A,N/A,N/A,Roger Morgan - The Crucifer of Blood,N/A,N/A,N/A
1978,Da - Hugh Leonard,Dracula,Barnard Hughes - Da,Jessica Tandy - The Gin Game,Lester Rawlins - Da,Ann Wedgeworth - Chapter Two,N/A,Melvin Bernhardt - Da,N/A,N/A,N/A,N/A,Edward Gorey - Dracula,N/A,N/A,N/A,N/A
1977,The Shadow Box - Michael Cristofer,N/A,Al Pacino - The Basic Training of Pavlo Hummel,Julie Harris - The Belle of Amherst,Jonathan Pryce - Comedians,Trazana Beverly - For Colored Girls Who Have Considered Suicide / When The Rainbow is Enuf,N/A,Gorfon Davidson - The Shadow Box,N/A,N/A,N/A,N/A,Santo Loquasto - The Cherry Orchard,Jennifer Tipton - The Cherry Orchard,N/A,N/A,N/A
1976,Travesties - Tom Stoppard,N/A,John Wood - Travesties,Irene Worth - Sweet Bird of Youth,Edward Herrmann - Mrs Warren's Profession,Shirley Knight - Kennedy's Children,N/A,Ellis Rabb - The Royal Family,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
1975,Equus - Peter Shaffer,N/A,John Kani & Winston Ntshona - Sizwe Banzi is Dead / The Island,"Ellen Burstyn - Same Time, Next Year",Frank Langella - Seascape,Rita Moreno - The Ritz,N/A,John Dexter - Equus,N/A,N/A,N/A,Carl Toms - Sherlock,N/A,Neil Peter Jampolis - Sherlock,N/A,N/A,N/A
1974,The River Niger - Joseph A Walker,N/A,Michael Moriarty - Find Your Way Home,Colleen Dewhurst - A Moon for the Misbergotten,Ed Flanders - A Moon for the Misbegotten,Frances Sternhagen - The Good Doctor,N/A,José Quintero - A Moon for the Misbegotten,N/A,N/A,N/A,N/A,N/A,Jules Fisher - Ulysses in Nighttown,N/A,N/A,N/A
1973,That Championship Season - Jason Miller,N/A,Alan Bates - Butley,Julie Harris - The Last of Mrs Lincoln,John Lithgow - The Changing Room,Leora Dana - The Last of Mrs Lincoln,N/A,AJ Antoon - That Championship Season,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
1972,Sticks and Bones - David Rabe,N/A,Cliff Gorman - Lenny,Sada Thompson - Twigs,Vincent Gardenia - The Prisoner of Second Avenue,Elizabeth Wilson - Sticks and Bones,N/A,Mike Nichols - The Prisoner of Second Avenue,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
1971,Sleuth - Anthony Shaffer,N/A,Brian Bedford - The School for Wives,Maureen Stapleton - The Gingerbread Lady,Paul Sands - Paul Sills' Story Theatre,Rae Allen - And Miss Reardon Drinks a Little,N/A,Peter Brook - A Midsummer Night's Dream,N/A,N/A,N/A,N/A,N/A,HR Poindexter - Paul Sills' Story Theatre,N/A,N/A,N/A
1970,Borstal Boy - Frank McMahon,N/A,Fritz Weaver - Child's Play,Tammy Grimes - Private Lives,Ken Howard - Child's Play,Blythe Danner - Butterflies are Free,N/A,Joseph Harder - Child's Play,N/A,N/A,N/A,Jo Mielziner - Child's Play,N/A,Jo Mielziner - Child's Play,N/A,N/A,N/A
1969,The Great White Hope - Howard Sackler,N/A,James Earl Jones - The Great White Hope,Julie Harris - Forty Carats,Al Pacino - Does a Tiger Wear a Necktie?,Jane Alexander - The Great White Hope,N/A,Peter Dews - Hadrian the Seventh,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
1968,Rosencrantz and Guildenstern are Dead - Tom Stoppard,N/A,Martin Balsam - You Know I Can't Hear You When the Water's Running,Zoe Caldwell - The Prime of Miss Jean Brodie,James Patterson - The Birthday Party,Zena Walker - A Day in the Death of Joe Egg,N/A,Mike Nichols - Plaza Suite,N/A,N/A,David Merrick Arts Foundation - Rosencrantz and Guildenstern are Dead,Desmond Heeley - Rosencrantz and Guildenstern are Dead,Desmond Heeley - Rosencrantz and Guildenstern are Dead,N/A,N/A,N/A,N/A
1967,The Homecoming - Harold Pinter,N/A,Paul Rogers - The Homecoming,Beryl Reid - The Killing of Sister George,Ian Holm - The Homecoming,Marian Seldes - A Delicate Balance,N/A,Peter Hall - The Homecoming,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
1966,Marat/Sade - Peter Weiss,N/A,Hal Holbrook - Mark Twain Tonight,Rosemary Harris - The Lion in Winter,Patrick Magee - Marat/Sade,Zoe Caldwell - Slapstick Tragedy,N/A,Peter Brook - Marat/Sade,N/A,N/A,N/A,N/A,Gunilla Palmstierna-Weiss - Marat/Sade,N/A,N/A,N/A,N/A
1965,The Subject Was Roses - Frank Gilroy,N/A,Walter Matthau - The Odd Couple,Irene Worth - Tiny Alice,Jack Albertson - The Subject Was Roses,Alice Ghostly - The Sign in Sidney Brustein's Window,N/A,Mike Nichols - The Odd Couple & Luv,N/A,Neil Simon - The Odd Couple,Claire Nichtern - Luv,Oliver Smith - The Odd Couple & Luv,N/A,N/A,N/A,N/A,N/A
1964,Luther - John Osborne,N/A,Alec Guiness - Dylan,Sandy Dennis - Any Wednesday,Hume Cronyn - Hamlet,Barbara Loden - After the Fall,N/A,Mike Nichols - Barefoot in the Park,N/A,N/A,Herman Shumlin - The Deputy,N/A,N/A,N/A,N/A,N/A,N/A
1963,Who's Afraid of Virginia Woolf? - Edward Albee,N/A,Arthur Hill - Who's Afraid of Virginia Woolf?,Uta Hagen - Who's Afraid of Virginia Woolf?,Alan Arkin - Enter Laughing,Sandy Dennis - A Thousand Clowns,N/A,Alan Schneider - Who's Afraid of Virginia Woolf?,N/A,N/A,Richard Barr & Clinton Wilder - Who's Afraid of Virginia Woolf?,N/A,Anthony Powell - The School for Scandal,N/A,N/A,N/A,N/A
1962,A Man for All Seasons - Robert Bolt,N/A,Paul Scofield - A Man for All Seasons,Margaret Leighton - The Night of the Iguana,Walter Matthau - A Shot in the Dark,"Elizabeth Ashley - Take Her, She's Mine",N/A,Noel Willman - A Man for All Seasons,N/A,N/A,Robert Whitehead & Roger L Stevens - A Man for All Seasons,N/A,N/A,N/A,N/A,N/A,N/A
1961,Becket - Jean Anouilh,N/A,Zero Mostel - Rhinocéras,Joan Plowright - A Taste of Honey,"Martin Gabel - Big Fish, Little Fish",Colleen Dewhurst - All the Way Home,N/A,"John Gielgud - Big Fish, Little Fish",N/A,N/A,N/A,Oliver Smith - Becket,Motley - Becket,N/A,N/A,Teddy Van Bemmel - Becket,N/A
1960,The Miracle Worker - William Gibson,N/A,Melvyn Douglas - The Best Man,Anne Bancroft - The Miracle Worker,Roddy McDowell - The Fighting Cock,Anne Revere - Toys in the Attic,N/A,Arthur Penn - The Miracle Worker,N/A,N/A,N/A,Howard Bay - Toys in the Attic,N/A,N/A,N/A,John Walters - The Miracle Worker,N/A
1959,J.B. - Archibald MacLeish,N/A,Jason Robards Jr - The Disenchanted,Gertrude Berg - A Majority of One,Charlie Ruggles - The pleasure of His Company,Julie Newmar - The Marriage-Go-Round,N/A,Elia Kazan - J.B.,N/A,N/A,N/A,Donald Oenslager - A Majority of One,N/A,N/A,N/A,N/A,N/A
1958,Sunrise at Campobello - Dore Schary,N/A,Ralph Bellamy - Sunrise at Campobello,Helen Hayes - Time Remembered,Henry Jones - Sunrise at Campobello,Anne Bancroft - Two for the Seesaw,N/A,Vincent J Donohue - Sunrise at Campobello,N/A,N/A,N/A,N/A,Motley - The First Gentleman,N/A,N/A,Harry Romar - Time Remembered,N/A
1957,Long Day's Journey Into Night - Eugene O'Neill,N/A,Fredric March - Long Day's Journey Into Night,Margaret Leighton - Separate Tables,Frank Conroy - The Potting Shed,Peggy Cass - Auntie Mame,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Howard McDonald - Major Barbara,N/A
1956,The Diary of Anne Frank - Frances Goodrich & Albert Hackett,N/A,Paul Muni - Inherit the Wind,Julie Harris - The Lark,Ed Begley - Inherit the Wind,Una Merkel - The Ponder Heart,N/A,Tyrone Guthrie - The Matchmaker,N/A,N/A,N/A,Peter Larkin - Inherit the Wind & No Time for Sergeants,N/A,N/A,N/A,Harry Green - Middle of the Night,N/A
1955,The Desperate Hours - Joseph Hayes,N/A,Alfred Lunt - Quadrille,Nancy Kelly - The Bad Seed,Francis L Sullivan - Witness for the Prosecution,Patricia Jessel - Witness for the Prosecution,N/A,Robert Montgomery - The Desperate Hours,N/A,N/A,N/A,N/A,Cecil Beaton - Quadrille,N/A,N/A,N/A,N/A
1954,The Teahouse of the August Moon - John Patrick,N/A,David Wayne - The Teahouse of the August Moon,Audrey Hepburn - Ondine,John Kerr - Tea and Sympathy,Jo Van Fleet - The Trip to Bountiful,N/A,Alfred Lunt - Ondine,N/A,N/A,N/A,Peter Larkin - Ondine & The Teahouse of the August Moon,Richard Whorf - Ondine,N/A,N/A,John David - Picnic,N/A
1953,The Crucible - Arthur Miller,N/A,Tom Ewell - The Seven Year Itch,Shirley Booth - The Time of the Cuckoo,John Williams - Dial M for Murder,Beatrice Straight - The Crucible,N/A,Joshua Logan - Picnic,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
1952,The Fourposter - Jan de Hartog,N/A,José Ferrer - The Shrike,Julie Harris - I Am a Camera,John Cromwell - Point of No Return,Marian Winters - I Am a Camera,N/A,José Ferrer - The Shrike & The Fourposter,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
1951,The Rose Tattoo - Tennesse Williams,N/A,Claude Rains - Darkness at Noon,Uta Hagen - The Country Girl,Eli Wallach - The Rose Tattoo,Maureen Stapleton - The Rose Tattoo,N/A,N/A,N/A,N/A,N/A,Boris Aronson - The Rose Tattoo & The Country Girl,Miles White - Bless You All,N/A,N/A,Richard Raven - The Autumn Garden,N/A
1950,The Cocktail Party - TS Eliot,N/A,"Sidney Blackmer - Come Back, Little Sheba","Shirley Booth - Come Back, Little Sheba",N/A,N/A,N/A,N/A,N/A,N/A,N/A,Jo Mielziner - The Innocents,N/A,N/A,N/A,N/A,N/A
1949,Death of a Salesman - Arthur Miller,N/A,Rex Harrison - Anne of Thousand Days,Martita Hunt - The Madwoman of Chaillot,Arthur Kennedy - Death of a Salesman,"Shirley Booth - Goodbye, My Fancy",N/A,Elia Kazan - Death of a Salesman,N/A,Arthur Miller - Death of a Salesman,Kermit Bloomgardin & Walter Fried - Death of a Salesman,Jo Mielziner - Death of a Salesman & Anne of Thousand Days,N/A,N/A,N/A,N/A,N/A
1948,Mister Roberts - Thomas Heggen & Joshua Logan,N/A,Henry Fonda - Mister Roberts / Paul Kelly - Command Decision / Basil Rathbone - The Heiress,Judith Anderson - Medea / Katharine Cornell - Antony and Cleopatra / Jessica Tandy - A Streetcar Named Desire,N/A,N/A,James Whitmore - Command Decision / June Lockhart - For Love or Money,Joshua Logan - Mister Roberts,N/A,N/A,N/A,N/A,Mary Percy Schenck - The Heiress,N/A,N/A,N/A,Donald Bain & Jane Baxter & Pamela Brown & Jean Cadell & Stringer Davis & Robert Flemyng & John Gielgud & John Kidd & Margaret Rutherford & Richard Wordsworth - The Importance of Being Earnest
1947,N/A,N/A,José Ferrer - Cyrano de Bergerac / Fredric March - Years Ago,Ingrid Bergman - Joan of Lorraine / Helen Hayes - Happy Birthday,N/A,Patricia Neal - Another Part of the Forest,N/A,Elia Kazan - All My Sons,N/A,Arthur Miller - All My Sons,N/A,N/A,Lucinda Ballard - Happy Birthday & Another Part of the Forest & John Loves Mary,N/A,N/A,N/A,N/A